avg_rmse,med_rmse,med_rmse_fit,sd_rmse,min_rmse,max_rmse,subj
0.2461294758347648,0.23242593293220498,0.21615157463941664,0.09146201340753793,0.078645561505999,0.421848298945219,0xmq6
0.093913610477142,0.07853555873649684,0.07824901195925885,0.0418675776956606,0.0201838160822007,0.1906334956762392,19bq6
0.12285116600821284,0.11338797710134906,0.11599239561433256,0.05348993519345483,0.028848374485884,0.2561885301831729,1z0ca
0.24665520200154878,0.22319787562249044,0.22540123515813548,0.10087927341608025,0.1095449257064517,0.4774870573191711,37o95
0.32721202220964535,0.2024780176526183,0.1950501153056298,0.307290317436819,0.0853723509973098,1.2621304398842377,3l6s4
0.06394969715579417,0.05258645185641165,0.0561202490909046,0.0320070302756909,0.0339200766488013,0.1623384297493339,46vpz
0.31625204526873435,0.3149513029452429,0.24824045632954034,0.09956840361434063,0.108307464240246,0.5896417459411086,520tj
0.17509761141747474,0.15329572177436357,0.14962152595555178,0.06517781639881916,0.0588552925586467,0.2905555434397372,6r8qk
0.037561536605805385,0.03508506287685545,0.0345917943464577,0.022907629992663645,0.0058662055675285,0.0818745553610647,6yaxg
0.2317904842512081,0.2232129393030547,0.1668922492234001,0.10423002584794126,0.0770658509930133,0.4835716189352032,7df33
