avg_rmse,med_rmse,med_rmse_fit,sd_rmse,min_rmse,max_rmse,subj
0.2766730202621835,0.2628179148223164,0.22805804088716955,0.13607680061851274,0.0712083162236448,0.6080860038872943,0xmq6
0.09252889990051198,0.0784418603699128,0.07923745511068064,0.041426563558501495,0.0198940453819205,0.1911230448231308,19bq6
0.1190858201153879,0.10260900363400391,0.11877570341553606,0.050209522386918004,0.0283274709061957,0.2375797653506074,1z0ca
0.2473410298514246,0.22875590219944075,0.2303582308070482,0.11020089483200325,0.0984975118827233,0.5414409055265025,37o95
0.2429139352275353,0.23798543457268706,0.2086590211641322,0.10001072170399558,0.0521404707648154,0.472917287032306,3l6s4
0.05876484189166563,0.0507901717573521,0.05624855301785385,0.023852278517709883,0.0325503765289521,0.1080942666817546,46vpz
0.3143326287376488,0.2794287665788945,0.2614270871236327,0.12971584306348619,0.1047634726557518,0.7440514660600464,520tj
0.17430307234076553,0.1663061356103701,0.1685328494215289,0.10476968481372403,0.0467409234157591,0.4976668266383176,6r8qk
0.033500109793010144,0.0308210933433491,0.0350607740496459,0.01768610981399165,0.0069775720643804,0.0725380628327731,6yaxg
0.2274115921882947,0.2070111423885182,0.20419191688672927,0.1252303888384728,0.0760605393976177,0.5559017907998172,7df33
